First Whale,Second Whale,Training Accuracy,Test Accuracy,Difference
beluga_white_whale,bowhead_whale,1.0,0.9545454545454546,0.045454545454545414
beluga_white_whale,false_killer_whale,1.0,0.9545454545454546,0.045454545454545414
beluga_white_whale,fin_finback_whale,1.0,1.0,0.0
beluga_white_whale,humpback_whale,1.0,0.95,0.050000000000000044
beluga_white_whale,killer_whale,1.0,0.9411764705882353,0.05882352941176472
beluga_white_whale,longfinned_pilot_whale,1.0,0.875,0.125
beluga_white_whale,melon_headed_whale,1.0,0.9565217391304348,0.04347826086956519
beluga_white_whale,narwhal,1.0,1.0,0.0
beluga_white_whale,northern_right_whale,1.0,0.9047619047619048,0.09523809523809523
beluga_white_whale,shortfinned_pacific_pilot_whale,1.0,1.0,0.0
beluga_white_whale,sperm_whale,1.0,1.0,0.0
bowhead_whale,beluga_white_whale,1.0,1.0,0.0
bowhead_whale,false_killer_whale,1.0,1.0,0.0
bowhead_whale,fin_finback_whale,1.0,1.0,0.0
bowhead_whale,humpback_whale,1.0,0.9545454545454546,0.045454545454545414
bowhead_whale,killer_whale,1.0,1.0,0.0
bowhead_whale,longfinned_pilot_whale,1.0,1.0,0.0
bowhead_whale,melon_headed_whale,1.0,1.0,0.0
bowhead_whale,narwhal,1.0,1.0,0.0
bowhead_whale,northern_right_whale,1.0,0.9565217391304348,0.04347826086956519
bowhead_whale,shortfinned_pacific_pilot_whale,1.0,1.0,0.0
bowhead_whale,sperm_whale,1.0,1.0,0.0
false_killer_whale,beluga_white_whale,1.0,0.9545454545454546,0.045454545454545414
false_killer_whale,bowhead_whale,1.0,0.9583333333333334,0.04166666666666663
false_killer_whale,fin_finback_whale,1.0,1.0,0.0
false_killer_whale,humpback_whale,1.0,1.0,0.0
false_killer_whale,killer_whale,1.0,1.0,0.0
false_killer_whale,longfinned_pilot_whale,1.0,1.0,0.0
false_killer_whale,melon_headed_whale,1.0,1.0,0.0
false_killer_whale,narwhal,1.0,1.0,0.0
false_killer_whale,northern_right_whale,1.0,1.0,0.0
false_killer_whale,shortfinned_pacific_pilot_whale,1.0,1.0,0.0
false_killer_whale,sperm_whale,1.0,1.0,0.0
fin_finback_whale,beluga_white_whale,1.0,1.0,0.0
fin_finback_whale,bowhead_whale,1.0,1.0,0.0
fin_finback_whale,false_killer_whale,1.0,1.0,0.0
fin_finback_whale,humpback_whale,1.0,1.0,0.0
fin_finback_whale,killer_whale,1.0,1.0,0.0
fin_finback_whale,longfinned_pilot_whale,1.0,1.0,0.0
fin_finback_whale,melon_headed_whale,1.0,1.0,0.0
fin_finback_whale,narwhal,1.0,1.0,0.0
fin_finback_whale,northern_right_whale,1.0,1.0,0.0
fin_finback_whale,shortfinned_pacific_pilot_whale,1.0,1.0,0.0
fin_finback_whale,sperm_whale,1.0,1.0,0.0
humpback_whale,beluga_white_whale,1.0,1.0,0.0
humpback_whale,bowhead_whale,1.0,0.8636363636363636,0.13636363636363635
humpback_whale,false_killer_whale,1.0,1.0,0.0
humpback_whale,fin_finback_whale,1.0,1.0,0.0
humpback_whale,killer_whale,1.0,1.0,0.0
humpback_whale,longfinned_pilot_whale,1.0,1.0,0.0
humpback_whale,melon_headed_whale,1.0,1.0,0.0
humpback_whale,narwhal,1.0,1.0,0.0
humpback_whale,northern_right_whale,1.0,0.7619047619047619,0.23809523809523814
humpback_whale,shortfinned_pacific_pilot_whale,1.0,1.0,0.0
humpback_whale,sperm_whale,1.0,1.0,0.0
killer_whale,beluga_white_whale,1.0,0.8823529411764706,0.11764705882352944
killer_whale,bowhead_whale,1.0,0.9473684210526315,0.052631578947368474
killer_whale,false_killer_whale,1.0,0.9473684210526315,0.052631578947368474
killer_whale,fin_finback_whale,1.0,1.0,0.0
killer_whale,humpback_whale,1.0,0.9411764705882353,0.05882352941176472
killer_whale,longfinned_pilot_whale,1.0,0.9047619047619048,0.09523809523809523
killer_whale,melon_headed_whale,1.0,0.95,0.050000000000000044
killer_whale,narwhal,1.0,1.0,0.0
killer_whale,northern_right_whale,1.0,0.8888888888888888,0.11111111111111116
killer_whale,shortfinned_pacific_pilot_whale,1.0,0.8571428571428571,0.1428571428571429
killer_whale,sperm_whale,1.0,0.9545454545454546,0.045454545454545414
longfinned_pilot_whale,beluga_white_whale,1.0,0.8333333333333334,0.16666666666666663
longfinned_pilot_whale,bowhead_whale,1.0,1.0,0.0
longfinned_pilot_whale,false_killer_whale,1.0,1.0,0.0
longfinned_pilot_whale,fin_finback_whale,1.0,1.0,0.0
longfinned_pilot_whale,humpback_whale,1.0,1.0,0.0
longfinned_pilot_whale,killer_whale,1.0,0.9523809523809523,0.04761904761904767
