Model,Dataset,Training_Accuracy,Test_Accuracy
Perceptron,fulldata_normalized,0.385502471169687,0.38235294117647056
MLP,fulldata_normalized,0.7561779242174629,0.6323529411764706
SVM,fulldata_normalized,0.5963756177924218,0.5735294117647058
KNN,fulldata_normalized,0.9785831960461285,0.6764705882352942
Decision_Tree,fulldata_normalized,0.8072487644151565,0.7647058823529411
Random_Forest,fulldata_normalized,0.9785831960461285,0.8970588235294118
Gradient_Boost,fulldata_normalized,0.9785831960461285,0.8529411764705882
Perceptron,fulldata_normalized_noisegate,0.2471169686985173,0.3235294117647059
MLP,fulldata_normalized_noisegate,0.5881383855024712,0.4411764705882353
SVM,fulldata_normalized_noisegate,0.5930807248764415,0.45588235294117646
KNN,fulldata_normalized_noisegate,0.9818780889621087,0.45588235294117646
Decision_Tree,fulldata_normalized_noisegate,0.7693574958813838,0.6764705882352942
Random_Forest,fulldata_normalized_noisegate,0.9818780889621087,0.8382352941176471
Gradient_Boost,fulldata_normalized_noisegate,0.9818780889621087,0.7794117647058824
Perceptron,fulldata_not_normalized,0.12520593080724876,0.11764705882352941
MLP,fulldata_not_normalized,0.15650741350906094,0.11764705882352941
SVM,fulldata_not_normalized,0.9818780889621087,0.16176470588235295
KNN,fulldata_not_normalized,0.9818780889621087,0.75
Decision_Tree,fulldata_not_normalized,0.8088962108731467,0.7058823529411765
Random_Forest,fulldata_not_normalized,0.9818780889621087,0.8235294117647058
Gradient_Boost,fulldata_not_normalized,0.9818780889621087,0.7794117647058824
Perceptron,fulldata_not_normalized_noisegate,0.20098846787479407,0.10294117647058823
MLP,fulldata_not_normalized_noisegate,0.1630971993410214,0.11764705882352941
SVM,fulldata_not_normalized_noisegate,0.9802306425041186,0.07352941176470588
KNN,fulldata_not_normalized_noisegate,0.9802306425041186,0.5294117647058824
Decision_Tree,fulldata_not_normalized_noisegate,0.8072487644151565,0.6764705882352942
Random_Forest,fulldata_not_normalized_noisegate,0.9802306425041186,0.7352941176470589
Gradient_Boost,fulldata_not_normalized_noisegate,0.9802306425041186,0.75
Perceptron,mfcc_only,0.22075782537067545,0.11764705882352941
MLP,mfcc_only,0.6161449752883031,0.38235294117647056
SVM,mfcc_only,0.5650741350906096,0.35294117647058826
KNN,mfcc_only,0.9818780889621087,0.4411764705882353
Decision_Tree,mfcc_only,0.5848434925864909,0.39705882352941174
Random_Forest,mfcc_only,0.9818780889621087,0.47058823529411764
Gradient_Boost,mfcc_only,0.9818780889621087,0.4852941176470588
Perceptron,mfcc_only_noisegate,0.2042833607907743,0.19117647058823528
MLP,mfcc_only_noisegate,0.357495881383855,0.22058823529411764
SVM,mfcc_only_noisegate,0.5914332784184514,0.38235294117647056
KNN,mfcc_only_noisegate,0.985172981878089,0.35294117647058826
Decision_Tree,mfcc_only_noisegate,0.46622734761120266,0.35294117647058826
Random_Forest,mfcc_only_noisegate,0.985172981878089,0.35294117647058826
Gradient_Boost,mfcc_only_noisegate,0.985172981878089,0.27941176470588236
