Model,Dataset,Training Accuracy,Test Accuracy
Perceptron,fulldata_normalized,0.18009118541033434,0.17687074829931973
MLP,fulldata_normalized,0.709726443768997,0.4217687074829932
SVM,fulldata_normalized,0.42933130699088146,0.3197278911564626
KNN,fulldata_normalized,0.9901215805471124,0.3945578231292517
Decision Tree,fulldata_normalized,0.6238601823708206,0.5578231292517006
Random Forest,fulldata_normalized,0.9901215805471124,0.7482993197278912
Gradient Boost,fulldata_normalized,0.9901215805471124,0.6938775510204082
Perceptron,fulldata_normalized_noisegate,0.10410334346504559,0.06802721088435375
MLP,fulldata_normalized_noisegate,0.4088145896656535,0.2789115646258503
SVM,fulldata_normalized_noisegate,0.46048632218844987,0.3401360544217687
KNN,fulldata_normalized_noisegate,0.9916413373860182,0.4013605442176871
Decision Tree,fulldata_normalized_noisegate,0.49240121580547114,0.47619047619047616
Random Forest,fulldata_normalized_noisegate,0.9916413373860182,0.6598639455782312
Gradient Boost,fulldata_normalized_noisegate,0.9916413373860182,0.6122448979591837
Perceptron,fulldata_not_normalized,0.05851063829787234,0.07482993197278912
MLP,fulldata_not_normalized,0.08814589665653495,0.07482993197278912
SVM,fulldata_not_normalized,0.9908814589665653,0.10204081632653061
KNN,fulldata_not_normalized,0.9908814589665653,0.5034013605442177
Decision Tree,fulldata_not_normalized,0.60790273556231,0.5782312925170068
Random Forest,fulldata_not_normalized,0.9908814589665653,0.7210884353741497
Gradient Boost,fulldata_not_normalized,0.9908814589665653,0.6666666666666666
Perceptron,fulldata_not_normalized_noisegate,0.09346504559270517,0.10884353741496598
MLP,fulldata_not_normalized_noisegate,0.11854103343465046,0.08163265306122448
SVM,fulldata_not_normalized_noisegate,0.9916413373860182,0.05442176870748299
KNN,fulldata_not_normalized_noisegate,0.9916413373860182,0.5238095238095238
Decision Tree,fulldata_not_normalized_noisegate,0.5395136778115501,0.4217687074829932
Random Forest,fulldata_not_normalized_noisegate,0.9916413373860182,0.6462585034013606
Gradient Boost,fulldata_not_normalized_noisegate,0.9916413373860182,0.7006802721088435
Perceptron,mfcc_only,0.13677811550151975,0.08163265306122448
MLP,mfcc_only,0.5159574468085106,0.23809523809523808
SVM,mfcc_only,0.4004559270516717,0.3469387755102041
KNN,mfcc_only,0.9916413373860182,0.3197278911564626
Decision Tree,mfcc_only,0.31990881458966564,0.22448979591836735
Random Forest,mfcc_only,0.9916413373860182,0.4217687074829932
Gradient Boost,mfcc_only,0.9916413373860182,0.30612244897959184
Perceptron,mfcc_only_noisegate,0.0668693009118541,0.06802721088435375
MLP,mfcc_only_noisegate,0.3130699088145897,0.17687074829931973
SVM,mfcc_only_noisegate,0.4703647416413374,0.2925170068027211
KNN,mfcc_only_noisegate,0.993161094224924,0.2789115646258503
Decision Tree,mfcc_only_noisegate,0.2917933130699088,0.17687074829931973
Random Forest,mfcc_only_noisegate,0.993161094224924,0.3197278911564626
Gradient Boost,mfcc_only_noisegate,0.993161094224924,0.272108843537415
