Model,Dataset,Training_Accuracy,Test_Accuracy
Perceptron,fulldata_normalized,0.20212765957446807,0.12244897959183673
MLP,fulldata_normalized,0.7408814589665653,0.3945578231292517
SVM,fulldata_normalized,0.44148936170212766,0.25170068027210885
KNN,fulldata_normalized,0.9908814589665653,0.3197278911564626
Decision_Tree,fulldata_normalized,0.621580547112462,0.4965986394557823
Random_Forest,fulldata_normalized,0.9908814589665653,0.6326530612244898
Gradient_Boost,fulldata_normalized,0.9908814589665653,0.6122448979591837
Perceptron,fulldata_normalized_noisegate,0.12537993920972645,0.1292517006802721
MLP,fulldata_normalized_noisegate,0.4012158054711246,0.2585034013605442
SVM,fulldata_normalized_noisegate,0.4673252279635258,0.2925170068027211
KNN,fulldata_normalized_noisegate,0.9924012158054711,0.30612244897959184
Decision_Tree,fulldata_normalized_noisegate,0.5577507598784195,0.4557823129251701
Random_Forest,fulldata_normalized_noisegate,0.9924012158054711,0.6462585034013606
Gradient_Boost,fulldata_normalized_noisegate,0.9924012158054711,0.6802721088435374
Perceptron,fulldata_not_normalized,0.06914893617021277,0.06802721088435375
MLP,fulldata_not_normalized,0.03951367781155015,0.07482993197278912
SVM,fulldata_not_normalized,0.9916413373860182,0.09523809523809523
KNN,fulldata_not_normalized,0.9916413373860182,0.5306122448979592
Decision_Tree,fulldata_not_normalized,0.6299392097264438,0.564625850340136
Random_Forest,fulldata_not_normalized,0.9916413373860182,0.782312925170068
Gradient_Boost,fulldata_not_normalized,0.9916413373860182,0.7619047619047619
Perceptron,fulldata_not_normalized_noisegate,0.0980243161094225,0.047619047619047616
MLP,fulldata_not_normalized_noisegate,0.11398176291793313,0.12244897959183673
SVM,fulldata_not_normalized_noisegate,0.9916413373860182,0.10204081632653061
KNN,fulldata_not_normalized_noisegate,0.9916413373860182,0.4421768707482993
Decision_Tree,fulldata_not_normalized_noisegate,0.5311550151975684,0.3673469387755102
Random_Forest,fulldata_not_normalized_noisegate,0.9916413373860182,0.6122448979591837
Gradient_Boost,fulldata_not_normalized_noisegate,0.9916413373860182,0.6054421768707483
Perceptron,mfcc_only,0.09042553191489362,0.05442176870748299
MLP,mfcc_only,0.5007598784194529,0.16326530612244897
SVM,mfcc_only,0.39285714285714285,0.2857142857142857
KNN,mfcc_only,0.9924012158054711,0.30612244897959184
Decision_Tree,mfcc_only,0.3366261398176292,0.20408163265306123
Random_Forest,mfcc_only,0.9924012158054711,0.36054421768707484
Gradient_Boost,mfcc_only,0.9924012158054711,0.35374149659863946
Perceptron,mfcc_only_noisegate,0.0919452887537994,0.04081632653061224
MLP,mfcc_only_noisegate,0.270516717325228,0.14285714285714285
SVM,mfcc_only_noisegate,0.4635258358662614,0.3129251700680272
KNN,mfcc_only_noisegate,0.9924012158054711,0.3129251700680272
Decision_Tree,mfcc_only_noisegate,0.2796352583586626,0.16326530612244897
Random_Forest,mfcc_only_noisegate,0.9924012158054711,0.30612244897959184
Gradient_Boost,mfcc_only_noisegate,0.9924012158054711,0.2653061224489796
