Model,Dataset,Training_Accuracy,Test_Accuracy
Perceptron,fulldata_normalized,0.307475317348378,0.24050632911392406
MLP,fulldata_normalized,0.7390691114245416,0.46835443037974683
SVM,fulldata_normalized,0.4696755994358251,0.3291139240506329
KNN,fulldata_normalized,1.0,0.46835443037974683
Decision_Tree,fulldata_normalized,0.7827926657263752,0.569620253164557
Random_Forest,fulldata_normalized,1.0,0.7974683544303798
Gradient_Boost,fulldata_normalized,1.0,0.7215189873417721
Perceptron,fulldata_normalized_noisegate,0.18899858956276447,0.12658227848101267
MLP,fulldata_normalized_noisegate,0.5486600846262342,0.3037974683544304
SVM,fulldata_normalized_noisegate,0.5698166431593794,0.34177215189873417
KNN,fulldata_normalized_noisegate,1.0,0.45569620253164556
Decision_Tree,fulldata_normalized_noisegate,0.7221438645980254,0.5949367088607594
Random_Forest,fulldata_normalized_noisegate,1.0,0.6835443037974683
Gradient_Boost,fulldata_normalized_noisegate,1.0,0.6962025316455697
Perceptron,fulldata_not_normalized,0.18899858956276447,0.10126582278481013
MLP,fulldata_not_normalized,0.13963328631875882,0.189873417721519
SVM,fulldata_not_normalized,1.0,0.20253164556962025
KNN,fulldata_not_normalized,1.0,0.4936708860759494
Decision_Tree,fulldata_not_normalized,0.7616361071932299,0.5316455696202531
Random_Forest,fulldata_not_normalized,1.0,0.759493670886076
Gradient_Boost,fulldata_not_normalized,1.0,0.7215189873417721
Perceptron,fulldata_not_normalized_noisegate,0.09590973201692525,0.08860759493670886
MLP,fulldata_not_normalized_noisegate,0.15655853314527504,0.22784810126582278
SVM,fulldata_not_normalized_noisegate,1.0,0.20253164556962025
KNN,fulldata_not_normalized_noisegate,1.0,0.5316455696202531
Decision_Tree,fulldata_not_normalized_noisegate,0.7320169252468265,0.620253164556962
Random_Forest,fulldata_not_normalized_noisegate,1.0,0.7088607594936709
Gradient_Boost,fulldata_not_normalized_noisegate,1.0,0.6962025316455697
Perceptron,mfcc_only,0.1622002820874471,0.12658227848101267
MLP,mfcc_only,0.6459802538787024,0.31645569620253167
SVM,mfcc_only,0.4809590973201692,0.34177215189873417
KNN,mfcc_only,1.0,0.35443037974683544
Decision_Tree,mfcc_only,0.4767277856135402,0.3291139240506329
Random_Forest,mfcc_only,1.0,0.43037974683544306
Gradient_Boost,mfcc_only,1.0,0.4430379746835443
Perceptron,mfcc_only_noisegate,0.15514809590973203,0.0759493670886076
MLP,mfcc_only_noisegate,0.3159379407616361,0.22784810126582278
SVM,mfcc_only_noisegate,0.5811001410437235,0.27848101265822783
KNN,mfcc_only_noisegate,1.0,0.31645569620253167
Decision_Tree,mfcc_only_noisegate,0.48519040902679833,0.22784810126582278
Random_Forest,mfcc_only_noisegate,1.0,0.35443037974683544
Gradient_Boost,mfcc_only_noisegate,1.0,0.31645569620253167
