Model,Dataset,Training_Accuracy,Test_Accuracy
Perceptron,fulldata_normalized,0.2784184514003295,0.19117647058823528
MLP,fulldata_normalized,0.7792421746293245,0.47058823529411764
SVM,fulldata_normalized,0.6079077429983526,0.4264705882352941
KNN,fulldata_normalized,0.9835255354200988,0.45588235294117646
Decision_Tree,fulldata_normalized,0.828665568369028,0.5882352941176471
Random_Forest,fulldata_normalized,0.9835255354200988,0.7647058823529411
Gradient_Boost,fulldata_normalized,0.9835255354200988,0.75
Perceptron,fulldata_normalized_noisegate,0.21252059308072488,0.07352941176470588
MLP,fulldata_normalized_noisegate,0.6194398682042833,0.39705882352941174
SVM,fulldata_normalized_noisegate,0.6013179571663921,0.4411764705882353
KNN,fulldata_normalized_noisegate,0.9818780889621087,0.4117647058823529
Decision_Tree,fulldata_normalized_noisegate,0.7347611202635914,0.5882352941176471
Random_Forest,fulldata_normalized_noisegate,0.9818780889621087,0.75
Gradient_Boost,fulldata_normalized_noisegate,0.9818780889621087,0.7205882352941176
Perceptron,fulldata_not_normalized,0.07907742998352553,0.04411764705882353
MLP,fulldata_not_normalized,0.1614497528830313,0.1323529411764706
SVM,fulldata_not_normalized,0.9802306425041186,0.10294117647058823
KNN,fulldata_not_normalized,0.9802306425041186,0.6029411764705882
Decision_Tree,fulldata_not_normalized,0.7990115321252059,0.5588235294117647
Random_Forest,fulldata_not_normalized,0.9802306425041186,0.7058823529411765
Gradient_Boost,fulldata_not_normalized,0.9802306425041186,0.6617647058823529
Perceptron,fulldata_not_normalized_noisegate,0.10873146622734761,0.07352941176470588
MLP,fulldata_not_normalized_noisegate,0.1630971993410214,0.16176470588235295
SVM,fulldata_not_normalized_noisegate,0.9802306425041186,0.11764705882352941
KNN,fulldata_not_normalized_noisegate,0.9802306425041186,0.6176470588235294
Decision_Tree,fulldata_not_normalized_noisegate,0.7775947281713345,0.6176470588235294
Random_Forest,fulldata_not_normalized_noisegate,0.9802306425041186,0.7647058823529411
Gradient_Boost,fulldata_not_normalized_noisegate,0.9802306425041186,0.7058823529411765
Perceptron,mfcc_only,0.13509060955518945,0.10294117647058823
MLP,mfcc_only,0.6161449752883031,0.3382352941176471
SVM,mfcc_only,0.5634266886326195,0.4264705882352941
KNN,mfcc_only,0.9818780889621087,0.4264705882352941
Decision_Tree,mfcc_only,0.5897858319604613,0.4264705882352941
Random_Forest,mfcc_only,0.9818780889621087,0.45588235294117646
Gradient_Boost,mfcc_only,0.9818780889621087,0.4411764705882353
Perceptron,mfcc_only_noisegate,0.19934102141680396,0.23529411764705882
MLP,mfcc_only_noisegate,0.34596375617792424,0.3088235294117647
SVM,mfcc_only_noisegate,0.5766062602965404,0.5
KNN,mfcc_only_noisegate,0.9835255354200988,0.45588235294117646
Decision_Tree,mfcc_only_noisegate,0.4942339373970346,0.38235294117647056
Random_Forest,mfcc_only_noisegate,0.9835255354200988,0.47058823529411764
Gradient_Boost,mfcc_only_noisegate,0.9835255354200988,0.4411764705882353
