Model,Dataset,Training_Accuracy,Test_Accuracy
Perceptron,fulldata_normalized,0.6474164133738601,0.6394557823129252
MLP,fulldata_normalized,0.8639817629179332,0.7755102040816326
SVM,fulldata_normalized,0.756838905775076,0.7074829931972789
KNN,fulldata_normalized,0.9992401215805471,0.7346938775510204
Decision_Tree,fulldata_normalized,0.7044072948328267,0.7551020408163265
Random_Forest,fulldata_normalized,0.9992401215805471,0.8843537414965986
Gradient_Boost,fulldata_normalized,0.958966565349544,0.8775510204081632
Perceptron,fulldata_normalized_noisegate,0.7386018237082067,0.7074829931972789
MLP,fulldata_normalized_noisegate,0.8024316109422492,0.7210884353741497
SVM,fulldata_normalized_noisegate,0.791033434650456,0.673469387755102
KNN,fulldata_normalized_noisegate,0.9992401215805471,0.6462585034013606
Decision_Tree,fulldata_normalized_noisegate,0.7667173252279635,0.7278911564625851
Random_Forest,fulldata_normalized_noisegate,0.9992401215805471,0.8503401360544217
Gradient_Boost,fulldata_normalized_noisegate,0.9468085106382979,0.8095238095238095
Perceptron,fulldata_not_normalized,0.7226443768996961,0.7006802721088435
MLP,fulldata_not_normalized,0.4316109422492401,0.3877551020408163
SVM,fulldata_not_normalized,1.0,0.6666666666666666
KNN,fulldata_not_normalized,1.0,0.8299319727891157
Decision_Tree,fulldata_not_normalized,0.7211246200607903,0.7142857142857143
Random_Forest,fulldata_not_normalized,1.0,0.8775510204081632
Gradient_Boost,fulldata_not_normalized,0.9642857142857143,0.8979591836734694
Perceptron,fulldata_not_normalized_noisegate,0.425531914893617,0.4421768707482993
MLP,fulldata_not_normalized_noisegate,0.601063829787234,0.5918367346938775
SVM,fulldata_not_normalized_noisegate,0.9992401215805471,0.5986394557823129
KNN,fulldata_not_normalized_noisegate,0.9992401215805471,0.7551020408163265
Decision_Tree,fulldata_not_normalized_noisegate,0.7621580547112462,0.7482993197278912
Random_Forest,fulldata_not_normalized_noisegate,0.9992401215805471,0.8639455782312925
Gradient_Boost,fulldata_not_normalized_noisegate,0.9506079027355623,0.8979591836734694
Perceptron,mfcc_only,0.5015197568389058,0.41496598639455784
MLP,mfcc_only,0.6451367781155015,0.5578231292517006
SVM,mfcc_only,0.6968085106382979,0.5714285714285714
KNN,mfcc_only,0.9992401215805471,0.6190476190476191
Decision_Tree,mfcc_only,0.6033434650455927,0.5850340136054422
Random_Forest,mfcc_only,0.9992401215805471,0.6326530612244898
Gradient_Boost,mfcc_only,0.8837386018237082,0.6326530612244898
Perceptron,mfcc_only_noisegate,0.43465045592705165,0.41496598639455784
MLP,mfcc_only_noisegate,0.6595744680851063,0.6122448979591837
SVM,mfcc_only_noisegate,0.7446808510638298,0.6326530612244898
KNN,mfcc_only_noisegate,0.9992401215805471,0.673469387755102
Decision_Tree,mfcc_only_noisegate,0.6314589665653495,0.6394557823129252
Random_Forest,mfcc_only_noisegate,0.9992401215805471,0.6938775510204082
Gradient_Boost,mfcc_only_noisegate,0.8632218844984803,0.6802721088435374
