Model,Dataset,Training Accuracy,Test Accuracy
Perceptron,fulldata_normalized,0.443163097199341,0.39705882352941174
MLP,fulldata_normalized,0.8105436573311368,0.5588235294117647
SVM,fulldata_normalized,0.6062602965403624,0.45588235294117646
KNN,fulldata_normalized,0.985172981878089,0.5441176470588235
Decision Tree,fulldata_normalized,0.8121911037891268,0.7352941176470589
Random Forest,fulldata_normalized,0.985172981878089,0.75
Gradient Boost,fulldata_normalized,0.985172981878089,0.6911764705882353
Perceptron,fulldata_normalized_noisegate,0.24217462932454695,0.20588235294117646
MLP,fulldata_normalized_noisegate,0.5502471169686985,0.4264705882352941
SVM,fulldata_normalized_noisegate,0.5914332784184514,0.5147058823529411
KNN,fulldata_normalized_noisegate,0.9835255354200988,0.4117647058823529
Decision Tree,fulldata_normalized_noisegate,0.7973640856672158,0.5882352941176471
Random Forest,fulldata_normalized_noisegate,0.9835255354200988,0.7794117647058824
Gradient Boost,fulldata_normalized_noisegate,0.9835255354200988,0.6764705882352942
Perceptron,fulldata_not_normalized,0.14991762767710048,0.14705882352941177
MLP,fulldata_not_normalized,0.16639209225700163,0.1323529411764706
SVM,fulldata_not_normalized,0.9802306425041186,0.1323529411764706
KNN,fulldata_not_normalized,0.9802306425041186,0.6911764705882353
Decision Tree,fulldata_not_normalized,0.7874794069192751,0.8382352941176471
Random Forest,fulldata_not_normalized,0.9802306425041186,0.8382352941176471
Gradient Boost,fulldata_not_normalized,0.9802306425041186,0.8235294117647058
Perceptron,fulldata_not_normalized_noisegate,0.10378912685337727,0.1323529411764706
MLP,fulldata_not_normalized_noisegate,0.16639209225700163,0.20588235294117646
SVM,fulldata_not_normalized_noisegate,0.9785831960461285,0.07352941176470588
KNN,fulldata_not_normalized_noisegate,0.9785831960461285,0.5882352941176471
Decision Tree,fulldata_not_normalized_noisegate,0.7742998352553542,0.6911764705882353
Random Forest,fulldata_not_normalized_noisegate,0.9785831960461285,0.7941176470588235
Gradient Boost,fulldata_not_normalized_noisegate,0.9785831960461285,0.7647058823529411
Perceptron,mfcc_only,0.17462932454695224,0.14705882352941177
MLP,mfcc_only,0.6112026359143328,0.45588235294117646
SVM,mfcc_only,0.5453047775947282,0.5147058823529411
KNN,mfcc_only,0.9802306425041186,0.5441176470588235
Decision Tree,mfcc_only,0.5700164744645799,0.5882352941176471
Random Forest,mfcc_only,0.9802306425041186,0.6323529411764706
Gradient Boost,mfcc_only,0.9802306425041186,0.5735294117647058
Perceptron,mfcc_only_noisegate,0.25370675453047775,0.07352941176470588
MLP,mfcc_only_noisegate,0.3871499176276771,0.29411764705882354
SVM,mfcc_only_noisegate,0.5897858319604613,0.47058823529411764
KNN,mfcc_only_noisegate,0.9769357495881383,0.36764705882352944
Decision Tree,mfcc_only_noisegate,0.500823723228995,0.3088235294117647
Random Forest,mfcc_only_noisegate,0.9769357495881383,0.4411764705882353
Gradient Boost,mfcc_only_noisegate,0.9769357495881383,0.35294117647058826
