Model,Dataset,Training Accuracy,Test Accuracy
Perceptron,fulldata_normalized,0.21808510638297873,0.16326530612244897
MLP,fulldata_normalized,0.708966565349544,0.3945578231292517
SVM,fulldata_normalized,0.41717325227963525,0.272108843537415
KNN,fulldata_normalized,0.9893617021276596,0.3945578231292517
Decision Tree,fulldata_normalized,0.5911854103343465,0.4489795918367347
Random Forest,fulldata_normalized,0.9893617021276596,0.7074829931972789
Gradient Boost,fulldata_normalized,0.9893617021276596,0.6802721088435374
Perceptron,fulldata_normalized_noisegate,0.11094224924012158,0.11564625850340136
MLP,fulldata_normalized_noisegate,0.41185410334346506,0.29931972789115646
SVM,fulldata_normalized_noisegate,0.4642857142857143,0.3401360544217687
KNN,fulldata_normalized_noisegate,0.9893617021276596,0.3333333333333333
Decision Tree,fulldata_normalized_noisegate,0.5387537993920972,0.43537414965986393
Random Forest,fulldata_normalized_noisegate,0.9893617021276596,0.7210884353741497
Gradient Boost,fulldata_normalized_noisegate,0.9893617021276596,0.6462585034013606
Perceptron,fulldata_not_normalized,0.0547112462006079,0.05442176870748299
MLP,fulldata_not_normalized,0.067629179331307,0.05442176870748299
SVM,fulldata_not_normalized,0.9908814589665653,0.11564625850340136
KNN,fulldata_not_normalized,0.9908814589665653,0.4965986394557823
Decision Tree,fulldata_not_normalized,0.5927051671732523,0.4897959183673469
Random Forest,fulldata_not_normalized,0.9908814589665653,0.7414965986394558
Gradient Boost,fulldata_not_normalized,0.9908814589665653,0.6666666666666666
Perceptron,fulldata_not_normalized_noisegate,0.07750759878419453,0.05442176870748299
MLP,fulldata_not_normalized_noisegate,0.08282674772036475,0.07482993197278912
SVM,fulldata_not_normalized_noisegate,0.9916413373860182,0.1564625850340136
KNN,fulldata_not_normalized_noisegate,0.9916413373860182,0.5170068027210885
Decision Tree,fulldata_not_normalized_noisegate,0.5592705167173252,0.5034013605442177
Random Forest,fulldata_not_normalized_noisegate,0.9916413373860182,0.7006802721088435
Gradient Boost,fulldata_not_normalized_noisegate,0.9916413373860182,0.673469387755102
Perceptron,mfcc_only,0.13221884498480244,0.11564625850340136
MLP,mfcc_only,0.4908814589665654,0.2653061224489796
SVM,mfcc_only,0.40577507598784196,0.32653061224489793
KNN,mfcc_only,0.9893617021276596,0.3197278911564626
Decision Tree,mfcc_only,0.32370820668693007,0.23809523809523808
Random Forest,mfcc_only,0.9893617021276596,0.40816326530612246
Gradient Boost,mfcc_only,0.9893617021276596,0.30612244897959184
Perceptron,mfcc_only_noisegate,0.08434650455927052,0.05442176870748299
MLP,mfcc_only_noisegate,0.3100303951367781,0.16326530612244897
SVM,mfcc_only_noisegate,0.4627659574468085,0.2857142857142857
KNN,mfcc_only_noisegate,0.9901215805471124,0.24489795918367346
Decision Tree,mfcc_only_noisegate,0.28799392097264437,0.1836734693877551
Random Forest,mfcc_only_noisegate,0.9901215805471124,0.3197278911564626
Gradient Boost,mfcc_only_noisegate,0.9901215805471124,0.3197278911564626
